,name,pop,lat,lon
0,Jakarta Selatan,1178,-6.28381815,106.80486325728526
1,Bandung,1133,-6.9344694,107.6049539
2,Jakarta Pusat,894,-6.18233995,106.84287153600738
3,Jakarta Barat,278,-6.161569,106.74389053715214
4,Jakarta Utara,177,-6.136197,106.90069022428446
5,Tangerang,157,-6.1761924,106.6382161
6,Bekasi,148,-6.2349858,106.9945444
7,tangerang Selatan,118,-6.3227016,106.7085737
8,Jakarta Timur,103,-6.26289085,106.88222894692834
9,Bogor,65,-6.5962986,106.7972421
10,Luar Negeri,63,-1.6123473000000001,103.51869770220782
11,Surabaya,49,-7.2459717,112.7378266
12,Semarang,45,-6.9903988,110.4229104
13,Denpasar,44,-8.6524973,115.2191175
14,Makassar,43,-5.1342962,119.4124282
15,Medan,39,3.5896654,98.6738261
16,Batam,38,1.1030815,104.0383696
17,Karawang,37,-6.3042012,107.307897
18,Depok,35,-6.40719,106.8158371
19,Yogyakarta,34,-7.9778383999999996,110.36722565020224
20,Cirebon,30,-6.7137044,108.5608483
21,Sleman,28,-7.6894175,110.38129042693123
22,Bandung Barat,27,-6.89775405,107.41242936450845
23,Surakarta,26,-7.5692489,110.828448
24,Pekanbaru,25,0.5262455,101.4515727
25,Tasikmalaya,24,-7.42717075,108.06842308702183
26,Cilegon,24,-6.017389,106.0537688
27,Sukabumi,22,-7.0764508500000005,106.73466083246038
28,Cimahi,22,-6.8731527,107.5423099
29,Serang,20,-6.10549695,105.9884713457985
30,Jambi,18,-1.6394711,102.94542640112506
31,Malang,17,-7.9771206,112.6340291
32,Palembang,16,-2.9888297,104.756857
33,Purwakarta,16,-6.5607313,107.4439799
34,Balikpapan,15,-1.2398711,116.8593379
35,Samarinda,14,-0.5017804,117.1393089
36,Pontianak,14,-0.0226903,109.3447488
37,Padang,12,-0.9247587,100.3632561
38,Banyumas,12,-7.45507165,109.11674648495966
39,Bandar Lampung,11,-5.4460713,105.2643742
40,Sidoarjo,11,-7.45597405,112.66088771295344
41,Majalengka,10,-6.8073627,108.27878604491181
42,Kediri,10,-7.8057219,112.16852174866582
43,Cianjur,10,-7.0542441,107.06914276067964
44,Garut,10,-7.2162543,107.9014912
45,Badung,10,-8.5449311,115.19868973994919
46,Subang,8,3.150486,101.531154
47,Sumedang,8,-6.80987135,107.98177315918636
48,Mataram,8,-8.5837726,116.10685
49,Jayapura,8,-2.5387539,140.7037389
50,Banjarbaru,7,-3.4397517,114.8309351
51,Mojokerto,7,-7.54133775,112.50949745736571
52,Banjarmasin,7,-3.3187496,114.5925828
53,Magelang,7,-7.51361445,110.2145132553504
54,Sukoharjo,7,-7.681572900000001,110.86761323046875
55,Cilacap,6,-7.46167105,108.80461463117007
56,Pangkalpinang,6,-2.1206733,106.1134604
57,Solok,6,-0.93223105,100.80384988763592
58,Madiun,6,-7.61188765,111.67319262808837
59,Gresik,6,-5.79334655,112.6598223201143
60,Ciamis,6,-7.313159300000001,108.40489379583816
61,Pekalongan,6,-7.0424390500000005,109.61916069886243
62,Pasuruan,6,-7.6399593,112.9070632
63,Indramayu,5,-4.0517644,103.7798337
64,Jakarta,5,-6.1753942,106.827183
65,Purbalingga,5,-7.32733005,109.39989874266684
66,Palu,5,-0.8957793,119.8679974
67,Ponorogo,5,-7.97122665,111.49889293326967
68,Klaten,5,-7.673189949999999,110.62850958437681
69,Pelalawan,5,0.4392758,102.0860694
70,Kutai Timur,5,0.9453606999999999,117.01108842636916
71,Brebes,4,-7.05207115,108.88813597074842
72,Payakumbuh,4,-0.2242687,100.6319419
73,Bantaeng,4,-5.47094485,119.9871679049646
74,Sragen,4,-7.3924563,110.95302317792749
75,Pariaman,4,-0.6263889,100.1177778
76,Pati,4,29.3547048,79.94467369931576
77,Bengkalis,4,1.4773227,102.110402
78,Tegal,4,-7.05644335,109.13157658590205
79,Deli Serdang,4,3.6947182,98.83100147255647
80,Wonogiri,4,-7.9620507,110.95757325155418
81,Ambon,4,47.55539425,-2.554524246013524
82,Kuningan,4,-6.9629141,110.4157734
83,Tanah Datar,3,-0.4684132,100.62988834978226
84,Kebumen,3,-7.6686894,109.6519465
85,Tanjungpinang,3,0.9236915,104.446094
86,Pematang Siantar,3,2.9588631,99.0653646
87,Siak,3,2.396893,115.6978836
